原字段	en	ja	ar	de	es	fr	pt	th	vi	zh-TW
Touch the Pumpkin Lantern: What Future Awaits Inside?	Touch the Pumpkin Lantern: What Future Awaits Inside?	かぼちゃのランタンに触れる:中にはどんな未来が待っているのか?	المس فانوس اليقطين: ما المستقبل الذي ينتظر في الداخل ؟	Berühren Sie die Kürbislaterne: Was Zukunft erwartet Sie drinnen?	Toca la linterna de calabaza: ¿qué futuro espera en el interior?	Touchez la lanterne citrouille : quel avenir vous attend à l'intérieur?	Toque a lanterna de abóbora: que futuro espera por dentro?	สัมผัสโคมไฟฟักทอง: อนาคตอะไรรออยู่ข้างใน?	Chạm  đèn lồng bí ngô: Tương lai nào đang chờ đợi bên trong?	觸摸南瓜燈：裏面等待着什麼未來？
On Halloween Night, What Power of Fate Will You Summon?	On Halloween Night, What Power of Fate Will You Summon?	ハロウィンの夜、あなたはどんな運命の力を召喚しますか?	في ليلة الهالوين ، ما هي قوة القدر التي ستستدعيها ؟	In der Halloween-Nacht, Was Macht des Schicksals wirst du beschwören?	En la Noche de Halloween, ¿Qué Poder del Destino Invocarás?	Le soir d'Halloween, quel pouvoir du destin invoquerez-vous?	Na Noite De Halloween, Que Poder Do Destino Você Invocará?	ในคืนฮาโลวีน คุณจะเรียกพลังแห่งโชคชะตาอะไร?	 đêm Halloween, bạn sẽ triệu hồi sức  của số phận nào?	萬聖節之夜，你將召喚什麼命運的力量？
Halloween Kiss Test: Will You Kiss a Prince or a Monster?	Halloween Kiss Test: Will You Kiss a Prince or a Monster?	ハロウィンのキステスト:王子とモンスターのどちらにキスしますか?	اختبار قبلة الهالوين: هل ستقبل أميرًا أم وحشًا ؟	Halloween-Kuss-Test: Wirst du einen Prinzen oder ein Monster küssen?	Prueba de besos de Halloween: ¿Besarás a un príncipe o a un monstruo?	Halloween Kiss Test : Embrasserez-vous un prince ou un monstre?	Halloween Kiss Test: Você vai beijar um príncipe ou um monstro?	การทดสอบจูบฮาโลวีน: คุณจะจูบเจ้าชายหรือสัตว์ประหลาดหรือไม่?	Bài kiểm tra nụ hôn Halloween: Bạn sẽ hôn một hoàng tử hay một con quái vật?	萬聖節親吻測試：你會親吻王子還是怪物？
Which Character Will You Be on Halloween?	Which Character Will You Be on Halloween?	あなたはハロウィンにどのキャラクターになりますか?	أي شخصية ستكون في عيد الهالوين ؟	Welche Figur wirst du an Halloween sein?	¿Qué personaje serás en Halloween?	Quel personnage serez-vous à Halloween?	Qual personagem você será no Halloween?	คุณจะเป็นตัวละครตัวไหนในวันฮาโลวีน?	Bạn sẽ là nhân vật nào trong Halloween?	萬聖節你會扮演哪個角色？
Pick a Candy to Reveal Your Hidden Personality!	Pick a Candy to Reveal Your Hidden Personality!	あなたの隠された個性を明らかにするためにキャンディーを選んでください!	اختر حلوى لتكشف عن شخصيتك المخفية!	Wählen Sie eine Süßigkeit, um Ihre verborgene Persönlichkeit zu enthüllen!	¡Elige un caramelo para revelar tu personalidad oculta!	Choisissez un bonbon pour révéler votre personnalité cachée!	Escolha um doce para revelar sua personalidade oculta!	เลือกขนมเพื่อเปิดเผยบุคลิกที่ซ่อนอยู่ของคุณ!	Chọn một viên kẹo để tiết lộ tính cách tiềm ẩn của bạn!	挑個糖果暴露你隱藏的個性！
Your Halloween Luck: Trick or Treat?	Your Halloween Luck: Trick or Treat?	あなたのハロウィンの運:トリック・オア・トリート?	حظك في الهالوين: خدعة أم حلوى ؟	Ihr Halloween-Glück: Süßes oder Saures?	Tu suerte de Halloween: ¿Truco o trato?	Votre chance d'Halloween : un truc ou un régal?	Sua Sorte de Halloween: Doçura ou Travessura?	โชคฮาโลวีนของคุณ: เคล็ดลับหรือการรักษา?	May mắn Halloween của bạn: Lừa hay đãi?	你的萬聖節好運：不給糖就搗蛋？
What Is the Spirit of Halloween Trying to Tell You?	What Is the Spirit of Halloween Trying to Tell You?	ハロウィーンの精神はあなたに何を伝えようとしていますか?	ما الذي تحاول روح الهالوين إخبارك به ؟	Was Versucht der Geist von Halloween es Ihnen zu sagen?	¿Qué está tratando de decirte el espíritu de Halloween?	Qu'est-ce que l'esprit d'Halloween essaie de vous dire?	O que o espírito do Halloween está tentando lhe dizer?	วิญญาณแห่งวันฮาโลวีนที่พยายามจะบอกคุณคืออะไร?	Tinh thần của Halloween đang cố gắng nói với bạn điều gì?	萬聖節的精神想告訴你什麼？
Tap to Claim Your Exclusive Certificate	Tap to Claim Your Exclusive Certificate	タップして独占的な証明書を取得しましょう	اضغط للمطالبة بشهادتك الحصرية	Tippen Sie auf, um Ihr exklusives Zertifikat einzufordern	Toque para reclamar su certificado exclusivo	Appuyez pour réclamer votre certificat exclusif	Toque para reivindicar seu certificado exclusivo	แตะเพื่อรับใบรับรองพิเศษของคุณ	Nhấn để xác nhận chứng chỉ độc quyền của bạn	點擊以申請您的獨家證書
Receive good luck from Santa Claus in 2026！	Receive good luck from Santa Claus in 2026！	2026年にサンタクロースから幸運を受け取ろう!	احصل على حظ سعيد من سانتا كلوز في عام 2026!	Viel Glück vom Weihnachtsmann im Jahr 2026!	¡Reciba buena suerte de Santa Claus en 2026!	Recevez bonne chance du Père Noël en 2026!	Receba boa sorte do Papai Noel em 2026!	รับความโชคดีจากซานตาคลอสในปี 2026!	Nhận may mắn từ ông già Noel  năm 2026!	在2026年收到聖誕老人的好運！
Touch the crystal ball, it knows your future.	Touch the crystal ball, it knows your future.	クリスタルボールに触れると、あなたの未来がわかります。	المس الكرة البلورية ، فهي تعرف مستقبلك.	Berühre die Kristallkugel, sie kennt deine Zukunft.	Toca la bola de cristal, conoce tu futuro.	Touchez la boule de cristal, elle connaît votre avenir.	Toque na bola de cristal, ela conhece o seu futuro.	สัมผัสลูกบอลคริสตัลมัน้อนาคตของคุณ	Chạm  quả cầu pha lê, nó biết tương lai của bạn.	觸摸水晶球，它知道你的未來。
Touch the Ring to See Your Perfect Match	Touch the Ring to See Your Perfect Match	リングに触れてあなたの完璧なマッチを確認してください	المس الخاتم لرؤية تطابقك المثالي	Berühren Sie den Ring, um Ihre perfekte Übereinstimmung zu sehen	Toca el Anillo Para Ver Tu Combinación Perfecta	Touchez la bague pour voir votre match parfait	Toque no Anel para Ver Sua Combinação Perfeita	สัมผัสแหวนเพื่อดูคู่ที่สมบูรณ์แบบของคุณ	Chạm  chiếc nhẫn để xem trận đấu hoàn hảo của bạn	觸摸戒指以查看您的完美搭配
New Message: Check Your 5 Good Things for 2026	New Message: Check Your 5 Good Things for 2026	新しいメッセージ: 2026年のためにあなたの5つの良いことをチェックしてください	رسالة جديدة: تحقق من 5 أشياء جيدة لعام 2026	Neue Nachricht: Prüfen Sie Ihre 5 guten Dinge für 2026	Nuevo Mensaje: Revisa Tus 5 Cosas Buenas para 2026	Nouveau message : Vérifiez vos 5 bonnes choses pour 2026	Nova Mensagem: Confira Suas 5 Coisas Boas para 2026	ข้อความใหม่: ตรวจสอบ 5 สิ่งที่ดีของคุณสำหรับปี 2026	Tin nhắn mới: Kiểm tra 5 điều tốt đẹp của bạn cho năm 2026	新信息：檢查2026年的5件好事
Tap the Map to See Where You'll Go in the Next 10 Years	Tap the Map to See Where You'll Go in the Next 10 Years	今後10年間にどこへ行くかを確認するために地図をタップしてください。	اضغط على الخريطة لترى إلى أين ستذهب في السنوات العشر القادمة	Tippen Sie auf die Karte, um zu sehen, wohin Sie in den nächsten 10 Jahren gehen werden	Toca el mapa para ver a dónde irás en los próximos 10 años	Appuyez sur la carte pour voir où vous irez dans les 10 prochaines années	Toque no mapa para ver aonde você irá nos próximos 10 anos	แตะแผนที่เพื่อดูว่าคุณจะไปที่ไหนในอีก 10 ปีข้างหน้า	Nhấn  bản đồ để xem bạn sẽ đi đâu trong 10 năm tới	點擊地圖查看未來10年您將走向何方
What Are Your 5 Keywords for Next Month?	What Are Your 5 Keywords for Next Month?	来月の5つのキーワードは何ですか?	ما هي 5 كلمات رئيسية للشهر القادم ؟	Was Sind Ihre 5 Schlüsselwörter für den nächsten Monat?	¿Cuáles son tus 5 palabras clave para el próximo mes?	Quels sont vos 5 mots clés pour le mois prochain?	Quais são suas 5 palavras-chave para o próximo mês?	คำหลัก 5 คำของคุณสำหรับเดือนหน้าคืออะไร?	5 từ khóa của bạn cho tháng tới là gì?	你下個月的5個關鍵詞是什麼？
Touch the Newspaper to See Which of Your Achievements Deserves the Headline!	Touch the Newspaper to See Which of Your Achievements Deserves the Headline!	新聞をタッチして、あなたの成果のどれが見出しに値するかを確認してください!	المس الجريدة لترى أي من إنجازاتك يستحق العنوان!	Berühren Sie die Zeitung, um zu sehen, welche Ihrer Leistungen die Schlagzeile verdient haben!	¡Toca el Periódico para Ver Cuál de Tus Logros Merece El Titular!	Touchez le journal pour voir laquelle de vos réalisations mérite le titre!	Toque no jornal para ver qual de suas conquistas merece a manchete!	แตะหนังสือพิมพ์เพื่อดูว่าความสำเร็จใดของคุณสมควรได้รับพาดหัวข่าว!	Chạm  báo để xem thành tích nào của bạn xứng đáng với tiêu đề!	觸摸報紙，看看你的哪些成就值得上頭條！
What Type of Coffee Are You?😂	What Type of Coffee Are You?😂	あなたはどんなコーヒーですか?😂	أي نوع من القهوة أنت ؟😂	Was Kaffeesorte sind Sie?😂	¿Qué Tipo De Café Eres?😂	Quel type de café êtes-vous?😂	Que Tipo De Café Você É?😂	คุณเป็นกาแฟแบบไหน?😂	Bạn là loại cà phê nào?😂	你是什麼類型的咖啡？😂
Tap the Cat's Eye to Reveal What Has Always Been Protecting You.	Tap the Cat's Eye to Reveal What Has Always Been Protecting You.	いつもあなたを守ってきたものを明らかにするために、猫の目をタップしてください。	اضغط على عين القطة لتكشف عما كان يحميك دائمًا.	Tippen Sie auf das Katzenauge, um zu zeigen Was Sie immer beschützt hat.	Toca el Ojo de Gato para Revelar Lo Que Siempre Te Ha Estado Protegiendo.	Appuyez sur l'œil du chat pour révéler ce qui vous a toujours protégé.	Toque no Olho do Gato para Revelar O Que Sempre O Protegeu.	แตะตาแมวเพื่อเปิดเผยสิ่งที่ปกป้องคุณเสมอ	Chạm  mắt mèo để tiết lộ những gì đã luôn bảo vệ bạn.	點擊貓眼，揭示一直在保護你的東西。
Tap the snake, it will reveal who secretly dislikes you.	Tap the snake, it will reveal who secretly dislikes you.	蛇をタップすると、誰があなたを密かに嫌っているかが明らかになります。	اضغط على الثعبان ، سيكشف من يكرهك سراً.	Tippe auf die Schlange, sie wird zeigen, wer dich insgeheim nicht mag.	Toca la serpiente, revelará a quién secretamente no le gustas.	Appuyez sur le serpent, il révélera qui vous déteste secrètement.	Toque na cobra, ela revelará quem secretamente não gosta de você.	แตะงูมันจะเผยให้เห็นว่าใครแอบไม่ชอบคุณ	Chạm  con rắn, nó sẽ tiết lộ ai là người thầm ghét bạn.	輕敲蛇，它會揭示誰暗地裏不喜歡你。
Touch the baby to receive your baby nickname.	Touch the baby to receive your baby nickname.	赤ちゃんをタッチすると、赤ちゃんのニックネームが表示されます。	المس الطفل لتلقي لقب طفلك.	Berühren Sie das Baby, um Ihren Baby-Spitznamen zu erhalten.	Toque al bebé para recibir el apodo de su bebé.	Touchez le bébé pour recevoir votre surnom de bébé.	Toque no bebê para receber o apelido do seu bebê.	แตะทารกเพื่อรับชื่อเล่นของลูกน้อย	Chạm  em bé để nhận biệt danh của em bé.	觸摸寶寶以接收您的寶寶暱稱。
Touch to See Why You're on TV	Touch to See Why You're on TV	テレビに出ている理由を見るためにタッチしてください	المس لترى لماذا أنت على شاشة التلفزيون	Berühren Sie, um zu sehen, warum Sie im Fernsehen sind	Toque para ver por qué está en la televisión	Touchez pour voir pourquoi vous êtes à la télévision	Toque para ver por que você está na TV	แตะเพื่อดูว่าทำไมคุณถึงอยู่ในทีวี	Chạm để xem tại sao bạn lại ở trên TV	觸摸看看你爲什麼上電視
A path of fortune lights up before you — success is closer than you think.	A path of fortune lights up before you — success is closer than you think.	幸運の道があなたの前に輝きます-成功はあなたが思っているよりも近いです。	طريق الحظ يضيء أمامك - النجاح أقرب مما تعتقد.	Ein Weg des Glücks leuchtet vor Ihnen auf - der Erfolg ist näher als Sie denken.	Un camino de la fortuna se ilumina ante ti: el éxito está más cerca de lo que piensas.	Un chemin de fortune s'illumine devant vous - le succès est plus proche que vous ne le pensez.	Um caminho de fortuna se ilumina antes de perceber que o sucesso está mais perto do que você pensa.	เส้นทางแห่งโชคลาภสว่างขึ้นต่อหน้าคุณ - ความสำเร็จอยู่ใกล้กว่าที่คุณคิด	Một con  mắn sáng lên trước mắt bạn - thành công gần hơn bạn nghĩ.	一條幸運的道路在你面前亮起——成功比你想象的要近。
The Flame of Rebirth: from every ending you rise again, burning brighter each time life tries to break you.	The Flame of Rebirth: from every ending you rise again, burning brighter each time life tries to break you.	再生の炎:すべての終わりからあなたは再び立ち上がり、人生があなたを壊そうとするたびにより明るく燃えます。	شعلة الولادة الجديدة: من كل نهاية تقوم مرة أخرى ، تحترق أكثر إشراقًا في كل مرة تحاول فيها الحياة كسرك.	Die Flamme der Wiedergeburt: Aus jedem Ende erhebst du dich wieder und brennst jedes Mal heller, wenn das Leben versucht, dich zu brechen.	La Llama del Renacimiento: de cada final te levantas de nuevo, ardiendo más brillante cada vez que la vida intenta romperte.	La flamme de la renaissance : de chaque fin, vous vous réveillez, brûlant plus fort chaque fois que la vie essaie de vous briser.	A Chama do Renascimento: de cada final você se levanta novamente, queimando mais brilhante cada vez que a vida tenta quebrá-lo.	เปลวไฟแห่งการเกิดใหม่: จากทุกตอนจบที่คุณลุกขึ้นอีกครั้ง การเผาไหม้ที่สว่างขึ้นทุกครั้งที่ชีวิตพยายามทำลายคุณ	Ngọn lửa tái sinh: từ mỗi kết thúc bạn lại trỗi dậy, cháy sáng hơn mỗi khi cuộc sống cố gắng phá vỡ bạn.	重生之火：從每一個結局中，你都會再次升起，每次生活試圖打破你時，你都會燃燒得更亮。
Moonlit Prince’s Kiss	Moonlit Prince’s Kiss	月光王子のキス	قبلة الأمير المقمر	Der Kuss des Prinzen im Mondschein	Beso del príncipe iluminado por la luna	Le baiser du prince au clair de lune	Beijo Do Príncipe Luar	จูบของเจ้าชายแสงจันทร์	Nụ hôn của hoàng tử ánh trăng	月光下的王子之吻
I'm a Witch	I'm a Witch	私は魔女です	أنا ساحرة	Ich bin eine Hexe	Soy una bruja	Je suis une sorcière	Eu sou uma bruxa	ฉันเป็นแม่มด	Tôi là một phù thủy	我是女巫
Candy Corn:cheerful and nostalgic, you treasure memories and always find light in the past.	Candy Corn:cheerful and nostalgic, you treasure memories and always find light in the past.	キャンディコーン:陽気でノスタルジックな、あなたは思い出を大切にし、常に過去に光を見つけます。	حلوى الذرة: البهجة والحنين ، كنت كنز الذكريات وتجد دائما الضوء في الماضي.	Candy Corn: fröhlich und nostalgisch, Sie schätzen Erinnerungen und finden immer Licht in der Vergangenheit.	Candy Corn: alegre y nostálgico, atesoras recuerdos y siempre encuentras luz en el pasado.	Candy Corn : joyeux et nostalgique, vous chérissez des souvenirs et trouvez toujours la lumière dans le passé.	Milho Doce: alegre e nostálgico, você valoriza memórias e sempre encontra luz no passado.	แคนดี้คอร์น: ร่าเริงและคิดถึง คุณเก็บสมบัติความทรงจำและพบแสงสว่างในอดีตเสมอ	Candy Corn: vui vẻ và hoài cổ, bạn trân trọng những kỷ niệm và luôn tìm thấy ánh sáng trong quá khứ.	玉米糖：開朗懷舊，你珍藏回憶，總能在過去找到光明。
Golden Pumpkin Luck:fortune smiles on you; every risk brings unexpected rewards this week.	Golden Pumpkin Luck:fortune smiles on you; every risk brings unexpected rewards this week.	ゴールデンパンプキンラック:幸運はあなたに微笑みます。今週はすべてのリスクが予期せぬ報酬をもたらします。	حظ اليقطين الذهبي: الثروة تبتسم لك ؛ كل مخاطرة تجلب مكافآت غير متوقعة هذا الأسبوع.	Goldener Kürbis Glück: Das Glück lächelt dir zu; jedes Risiko bringt diese Woche unerwartete Belohnungen.	Suerte de calabaza dorada: la fortuna te sonríe; cada riesgo trae recompensas inesperadas esta semana.	Golden Pumpkin Luck : la fortune vous sourit ; chaque risque apporte des récompenses inattendues cette semaine.	Abóbora Dourada Sorte: a sorte sorri para você; cada risco traz recompensas inesperadas esta semana.	โชคฟักทองสีทอง: โชคลาภให้คุณ ทุกความเสี่ยงนำรางวัลที่ไม่คาดคิดมาให้ในสัปดาห์นี้	Golden Pumpkin Luck: tài lộc mỉm cười với bạn; mọi rủi ro đều mang lại phần thưởng bất ngờ trong tuần này.	金南瓜運：財運對你微笑；每一次冒險都會在本週帶來意想不到的回報。
Don’t fear endings.Every shadow hides a new beginning waiting for your courage to step forward.	Don’t fear endings.Every shadow hides a new beginning waiting for your courage to step forward.	終わりを恐れないでください。すべての影は新しい始まりを隠し、あなたの勇気が前進するのを待っています。	لا تخف من النهايات ، فكل ظل يخفي بداية جديدة في انتظار شجاعتك للتقدم.	Haben Sie keine Angst vor dem Ende. Jeder Schatten verbirgt einen neuen Anfang und wartet darauf, dass Ihr Mut nach vorne kommt.	No temas los finales. Cada sombra esconde un nuevo comienzo esperando que tu coraje dé un paso adelante.	N'ayez pas peur des fins. Chaque ombre cache un nouveau départ en attendant que votre courage avance.	Não tema finais. Cada sombra esconde um novo começo esperando que sua coragem dê um passo à frente.	อย่ากลัวตอนจบ ทุกเงาซ่อนการเริ่มต้นใหม่เพื่อรอให้ความกล้าหาญของคุณก้าวไปข้างหน้า	Đừng sợ kết thúc. Mỗi bóng tối đều ẩn chứa một khởi đầu mới chờ đợi sự can đảm của bạn bước tới.	不要害怕結束。每個陰影都隱藏着一個新的開始，等待你勇敢向前。
CRITICAL ADAPTABILITY	CRITICAL ADAPTABILITY	クリティカルアダプタビリティ	التكيف الحرج	KRITISCHE ANPASSUNGSFÄHIGKEIT	ADAPTABILIDAD CRÍTICA	ADAPTABILITÉ CRITIQUE	ADAPTABILIDADE CRÍTICA	การปรับตัวที่สำคัญ	KHẢ NĂNG THÍCH HỢP	臨界適應性
You receive the gift of effortless financial stability all year.	You receive the gift of effortless financial stability all year.	あなたは一年中楽な財政的安定の贈り物を受け取ります。	تتلقى هدية الاستقرار المالي السهل طوال العام.	Sie erhalten das ganze Jahr über das Geschenk müheloser finanzieller Stabilität.	Recibes el regalo de una estabilidad financiera sin esfuerzo durante todo el año.	Vous recevez le cadeau d'une stabilité financière sans effort toute l'année.	Você recebe o dom da estabilidade financeira sem esforço durante todo o ano.	คุณได้รับของขวัญแห่งความมั่นคงทางการเงินอย่างง่ายดายตลอดทั้งปี	Bạn nhận được món quà ổn định tài chính dễ dàng cả năm.	你全年都能輕鬆獲得財務穩定的禮物。
