Skips self-care,Skips self-care,セルフケアをスキップする,يتخطى الرعاية الذاتية,Überspringt die Selbstfürsorge,Salta el cuidado personal,Saute les soins personnels,Pula o autocuidado,ข้ามการดูแลตนเอง,Bỏ qua tự chăm sóc,跳過自我照顧,,,,,,,,,
Prioritizes deep rest,Prioritizes deep rest,深い休息を優先する,يعطي الأولوية للراحة العميقة,Priorisiert tiefe Ruhe,Prioriza el descanso profundo,Donne la priorité au repos profond,Prioriza o descanso profundo,จัดลำดับความสำคัญของการพักผ่อนที่ลึก,Ưu tiên nghỉ ngơi sâu,優先考慮深度休息,,,,,,,,,
Easily distracted,Easily distracted,簡単に気を散らす,يصرف بسهولة,Leicht ablenkbar,Se distrae fácilmente,Facilement distrait,Facilmente distraído,ฟุ้งซ่านง่าย,Dễ bị phân tâm,很容易分心,,,,,,,,,
Always meets deadlines,Always meets deadlines,いつも締め切りを守る,دائما يفي بالمواعيد النهائية,Hält immer Fristen ein,Siempre cumple con los límites,Respecte toujours les délais,Sempre cumpre prazos,ตรงตามกำหนดเวลาเสมอ,Luôn đáp ứng thời hạn,總是在最後期限前完成,,,,,,,,,
Never tracks finances,Never tracks finances,財務を追跡しない,أبدا المسارات المالية,Verfolgt nie die Finanzen,Nunca rastrea las finanzas,Ne suit jamais les finances,Nunca rastreia finanças,ไม่เคยติดตามการเงิน,Không bao giờ theo dõi tài chính,從不追蹤財務,,,,,,,,,
Clear future vision,Clear future vision,明確な未来ビジョン,رؤية مستقبلية واضحة,Klare Zukunftsvision,Visión de futuro clara,Vision claire de l'avenir,Visão de futuro clara,วิสัยทัศน์ในอนาคตที่ชัดเจน,Tầm nhìn tương lai rõ ràng,清晰的未來願景,,,,,,,,,
Holds long grudges,Holds long grudges,長い恨みを抱く,يحمل ضغائن طويلة,Hält einen langen Groll,Mantiene largos rencores,Garde de longues rancunes,Guarda rancores longos,ถือความขุ่นเคืองยาว,Giữ mối hận thù lâu dài,積怨已久,,,,,,,,,
Actively listens first,Actively listens first,積極的に最初に聞く,يستمع بنشاط أولا,Hört zuerst aktiv zu,Escucha activamente primero,Écoute activement en premier,Ouve ativamente primeiro,ฟังอย่างกระตือรือร้นก่อน,Chủ động lắng nghe trước,首先積極傾聽,,,,,,,,,
Always runs late,Always runs late,いつも遅れて走る,دائما يتأخر,Läuft immer zu spät,Siempre llega tarde,Il est toujours en retard,Sempre se atrasa,วิ่งสายตลอด,Luôn chạy muộn,總是遲到,,,,,,,,,
Reliable communication,Reliable communication,信頼できるコミュニケーション,التواصل الموثوق,Zuverlässige Kommunikation,Comunicación confiable,Communication fiable,Comunicação confiável,การสื่อสารที่เชื่อถือได้,Giao tiếp đáng tin cậy,可靠通信,,,,,,,,,
Zero work-life boundaries,Zero work-life boundaries,仕事と生活の境界がゼロ,صفر حدود العمل والحياة,Keine Grenzen zwischen Arbeit und Privatleben,Cero límites de trabajo y vida,Zéro limite entre vie professionnelle et vie privée,Limites zero entre vida profissional e pessoal,ขอบเขตชีวิตการทำงานเป็นศูนย์,Không có ranh giới giữa công việc và cuộc sống,零工作-生活界限,,,,,,,,,
Seeks constructive feedback,Seeks constructive feedback,建設的なフィードバックを求める,يسعى ردود فعل بناءة,bittet um konstruktives Feedback,Busca retroalimentación constructiva,Recherche des commentaires constructifs,Busca feedback construtivo,แสวงหาคำติชมที่สร้างสรรค์,Tìm kiếm phản hồi mang tính xây dựng,尋求建設性的反饋,,,,,,,,,
Avoids difficult tasks,Avoids difficult tasks,困難なタスクを回避する,تجنب المهام الصعبة,Vermeidet schwierige Aufgaben,Evita tareas difíciles,Évite les tâches difficiles,Evita tarefas difíceis,หลีกเลี่ยงงานยาก,Tránh những nhiệm vụ khó khăn,避免困難的任務,,,,,,,,,
Consistent learning habits,Consistent learning habits,一貫した学習習慣,عادات التعلم المتسقة,Konsistente Lerngewohnheiten,Hábitos de aprendizaje consistentes,Des habitudes d'apprentissage cohérentes,Hábitos de aprendizagem consistentes,นิสัยการเรียน้ที่สม่ำเสมอ,Thói quen học tập nhất quán,一致的學習習慣,,,,,,,,,
Your greatest challenge will become your most valuable asset.,Your greatest challenge will become your most valuable asset.,あなたの最大の挑戦はあなたの最も貴重な資産になります。,التحدي الأكبر الخاص بك سوف تصبح الأصول الأكثر قيمة.,Ihre größte Herausforderung wird zu Ihrem wertvollsten Kapital.,Tu mayor desafío se convertirá en tu activo más valioso.,Votre plus grand défi deviendra votre atout le plus précieux.,Seu maior desafio se tornará seu bem mais valioso.,ความท้าทายที่ยิ่งใหญ่ที่สุดของคุณจะกลายเป็นทรัพย์สินที่มีค่าที่สุดของคุณ,Thách thức lớn nhất của bạn sẽ trở thành tài sản quý giá nhất của bạn.,你最大的挑戰將成爲你最寶貴的資產。,,,,,,,,,
Constant self-doubt,Constant self-doubt,絶え間ない自己疑問,الشك الذاتي المستمر,Ständige Selbstzweifel,Constante duda de sí mismo,Doute constant de soi,Constante insegurança,สงสัยในตัวเองอย่างต่อเนื่อง,Liên tục nghi ngờ bản thân,不斷的自我懷疑,,,,,,,,,
A surprising connection is the key to unlocking your next major goal.,A surprising connection is the key to unlocking your next major goal.,次の大きな目標を達成する鍵は、驚くべきつながりです。,الاتصال المفاجئ هو المفتاح لفتح هدفك الرئيسي التالي.,"Eine überraschende Verbindung ist der Schlüssel, um Ihr nächstes großes Ziel zu erreichen.",Una conexión sorprendente es la clave para desbloquear tu próximo gran objetivo.,Une connexion surprenante est la clé pour débloquer votre prochain objectif majeur.,Uma conexão surpreendente é a chave para desbloquear seu próximo grande objetivo.,การเชื่อมต่อที่น่าประหลาดใจคือกุญแจสำคัญในการปลดล็อกเป้าหมายหลักต่อไปของคุณ,Một kết nối đáng ngạc nhiên là chìa khóa để mở khóa mục tiêu chính tiếp theo của bạn.,令人驚訝的聯繫是解鎖你下一個主要目標的關鍵。,,,,,,,,,
Fears vulnerability,Fears vulnerability,脆弱性への恐怖,مخاوف الضعف,Ängste Verwundbarkeit,Miedo a la vulnerabilidad,Craint la vulnérabilité,Medos vulnerabilidade,กลัวความเปราะบาง,Sợ bị tổn thương,害怕脆弱,,,,,,,,,
"The clarity you seek is found only in stillness, not action.","The clarity you seek is found only in stillness, not action.",あなたが求める明確さは、行動ではなく静けさの中にのみ見出されます。,الوضوح الذي تسعى إليه موجود فقط في السكون وليس في العمل.,"Die Klarheit, die Sie suchen, findet sich nur in der Stille, nicht im Handeln.","La claridad que buscas se encuentra solo en la quietud, no en la acción.","La clarté que vous recherchez ne se trouve que dans l'immobilité, pas dans l'action.","A clareza que você busca é encontrada apenas na quietude, não na ação.",ความชัดเจนที่คุณแสวงหาพบได้เฉพาะในความนิ่งไม่ใช่การกระทำ,"Sự rõ ràng bạn tìm kiếm chỉ được tìm thấy trong tĩnh lặng, không phải hành động.",你尋求的清晰只存在於靜止中，而不是行動中。,,,,,,,,,
Impulse spending habits,Impulse spending habits,衝動的な支出習慣,عادات الإنفاق الدافع,Gewohnheiten bei Impulsausgaben,Hábitos de gasto impulsivo,Habitudes de dépenses impulsives,Hábitos de consumo por impulso,นิสัยการใช้จ่ายแรงกระตุ้น,Thói quen chi tiêu bốc đồng,衝動消費習慣,,,,,,,,,
Next season will bring the courage you need to finally begin.,Next season will bring the courage you need to finally begin.,次のシーズンは、ついに始めるために必要な勇気をもたらします。,سيجلب الموسم المقبل الشجاعة التي تحتاجها لتبدأ أخيرًا.,"Die nächste Saison wird Ihnen den Mut geben, den Sie brauchen, um endlich anzufangen.",La próxima temporada traerá el coraje que necesitas para finalmente comenzar.,La saison prochaine vous apportera le courage dont vous avez besoin pour enfin commencer.,A próxima temporada trará a coragem que você precisa para finalmente começar.,ฤดูกาลหน้าจะนำความกล้าหาญที่คุณต้องเริ่มต้นในที่สุด,Mùa giải tới sẽ mang lại sự can đảm mà bạn cần để cuối cùng bắt đầu.,下一季將帶來你最終開始所需的勇氣。,,,,,,,,,
Chronic overthinking,Chronic overthinking,慢性的な過剰思考,الإفراط في التفكير المزمن,Chronisches Überdenken,Pensamiento excesivo crónico,Pensée excessive chronique,Pensamento excessivo crônico,คิดมากเรื้อรัง,Suy nghĩ quá mức mãn tính,長期過度思考,,,,,,,,,
You will realize that 'enough' has always been greater than 'more.',You will realize that 'enough' has always been greater than 'more.',いつも「足りる」という言葉は「もっと」という大なりな意味を持っていることに気づくでしょう。,"ستدرك أن ""ما يكفي"" كان دائمًا أكبر من ""أكثر"".","Sie werden feststellen, dass genug schon immer größer war als mehr.","Te darás cuenta de que ""suficiente"" siempre ha sido mayor que ""más"".","Vous vous rendrez compte que ""assez"" a toujours été plus grand que ""plus"".",Você vai perceber que 'o suficiente' sempre foi maior do que 'mais'.,คุณจะ้ว่า 'เพียงพอ' นั้นยิ่งใหญ่กว่า 'มากกว่า' เสมอ,Bạn sẽ nhận ra rằng 'đủ' luôn lớn hơn 'nhiều hơn'.,你會意識到“足夠”總是大於“更多”。,,,,,,,,,
Resists all change,Resists all change,すべての変化に抵抗する,يقاوم كل التغيير,Widersteht jeder Veränderung,Resiste todo cambio,Résiste à tout changement,Resiste a todas as mudanças,ต่อต้านการเปลี่ยนแปลงทั้งหมด,Chống lại tất cả thay đổi,抵抗一切改變,,,,,,,,,
Tap the Window to See the Future's Revelation.,Tap the Window to See the Future's Revelation.,ウィンドウをタップして、未来の啓示を見てください。,اضغط على النافذة لرؤية وحي المستقبل.,"Tippen Sie auf das Fenster, um die Offenbarung der Zukunft zu sehen.",Toca la ventana para ver la revelación del futuro.,Appuyez sur la fenêtre pour voir la révélation du futur.,Toque na Janela para Ver a Revelação do Futuro.,แตะหน้าต่างเพื่อดูการเปิดเผยของอนาคต,Chạm  Cửa sổ để Xem Khải Huyền của Tương lai.,點擊窗口查看未來的啓示。,,,,,,,,,
What Are the Red and Green Flags in Your Life?,What Are the Red and Green Flags in Your Life?,人生で赤と緑の旗は何ですか?,ما هي الأعلام الحمراء والخضراء في حياتك ؟,Was Sind die roten und grünen Fahnen in Ihrem Leben?,¿Cuáles son las banderas rojas y verdes en tu vida?,Quels sont les drapeaux rouges et verts dans votre vie?,Quais são as bandeiras vermelhas e verdes em sua vida?,ธงสีแดงและสีเขียวในชีวิตของคุณคืออะไร?,Màu đỏ và Xanh lá cây lá cờ trong cuộc sống của bạn là gì?,你生活中的紅旗和綠旗是什麼？,,,,,,,,,
You Opened the View,You Opened the View,ビューを開いた,لقد فتحت المنظر,Du hast die Aussicht geöffnet,Abriste La Vista,Vous avez ouvert la vue,Você abriu a visualização,คุณเปิดมุมมอง,Bạn đã mở chế độ xem,您打開了視圖,,,,,,,,,
Discover the Fuller You,Discover the Fuller You,フラーを発見する,اكتشاف أكمل لك,Entdecken Sie Ihr volleres Ich,Descubre el Más Completo Tú,Découvrez le plus complet que vous,Descubra o Você Mais Completo,ค้นพบฟูลเลอร์คุณ,Khám phá toàn bộ bạn,發現更豐滿的你,,,,,,,,,
Adapts to setbacks,Adapts to setbacks,挫折に適応する,يتكيف مع النكسات,Passt sich an Rückschläge an,Se adapta a los contratiempos,S'adapte aux revers,Adapta-se aos contratempos,ปรับให้เข้ากับความพ่ายแพ้,Thích nghi với thất bại,適應挫折,,,,,,,,,
Needs constant validation,Needs constant validation,常に検証が必要,يحتاج التحقق المستمر,Benötigt eine ständige Validierung,Necesita validación constante,Nécessite une validation constante,Precisa de validação constante,ต้องการการตรวจสอบอย่างต่อเนื่อง,Cần xác nhận liên tục,需要不斷驗證,,,,,,,,,
Naturally curious mind,Naturally curious mind,自然と好奇心旺盛な心,عقل فضولي طبيعي,Natürlich neugieriger Geist,Mente naturalmente curiosa,Esprit naturellement curieux,Mente naturalmente curiosa,จิตใจที่อยาก้อยากเห็นอย่างเป็นธรรมชาติ,Tâm trí tò mò tự nhiên,天生好奇的頭腦,,,,,,,,,
Excessive perfectionism,Excessive perfectionism,過度の完璧主義,الكمالية المفرطة,Übermäßiger Perfektionismus,Perfeccionismo excesivo,Perfectionnisme excessif,Perfeccionismo excessivo,ความสมบูรณ์แบบมากเกินไป,Chủ nghĩa hoàn hảo quá mức,過度的完美主義,,,,,,,,,
Needsconstant validation,Needsconstant validation,一定の検証が必要です,الاحتياجات التحقق المستمر,Benötigt eine ständige Validierung,Necesita validación constante,Nécessite une validation constante,Validação necessária constante,ต้องการการตรวจสอบอย่างต่อเนื่อง,Cần xác nhận liên tục,需要常量驗證,,,,,,,,,
You will realize that 'enough' has always been greater than 'more.',You will realize that 'enough' has always been greater than 'more.',いつも「足りる」という言葉は「もっと」という大なりな意味を持っていることに気づくでしょう。,"ستدرك أن ""ما يكفي"" كان دائمًا أكبر من ""أكثر"".","Sie werden feststellen, dass genug schon immer größer war als mehr.","Te darás cuenta de que ""suficiente"" siempre ha sido mayor que ""más"".","Vous vous rendrez compte que ""assez"" a toujours été plus grand que ""plus"".",Você vai perceber que 'o suficiente' sempre foi maior do que 'mais'.,คุณจะ้ว่า 'เพียงพอ' นั้นยิ่งใหญ่กว่า 'มากกว่า' เสมอ,Bạn sẽ nhận ra rằng 'đủ' luôn lớn hơn 'nhiều hơn'.,你會意識到“足夠”總是大於“更多”。,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
"Click the button to reveal your ghostly revelation~

","Click the button to reveal your ghostly revelation~

","あなたの幽霊の啓示を明らかにするためにボタンをクリックしてくださいー

","انقر فوق الزر للكشف عن الوحي الشبحي الخاص بك ~

","Klicken Sie auf die Schaltfläche, um Ihre geisterhafte Offenbarung zu enthüllen ~

","Haga clic en el botón para revelar su revelación fantasmal ~

","Cliquez sur le bouton pour révéler votre révélation fantomatique ~

","Clique no botão para revelar sua revelação fantasmagórica ~

","คลิกปุ่มเพื่อเปิดเผยการเปิดเผยที่น่ากลัวของคุณ ~

","Nhấp  nút để tiết lộ tiết lộ ma quái của bạn ~

","點擊按鈕揭示你幽靈般的啓示~

",,,,,,,,,
What Kind of Blessing Would God Give to Your Heart?,What Kind of Blessing Would God Give to Your Heart?,神様はあなたの心にどのような祝福を与えますか。,أي نوع من البركة سيعطيها الله لقلبك ؟,Was Art von Segen würde Gott Ihrem Herzen geben?,¿Qué Tipo De Bendición Daría Dios A Tu Corazón?,Quel genre de bénédiction Dieu donnerait-il à votre cœur?,Que Tipo de Bênção Deus Daria ao Seu Coração?,พระเจ้าจะประทานพรแบบไหนแก่หัวใจของคุณ?,Chúa sẽ ban phước lành gì cho trái tim bạn?,上帝會給你什麼樣的祝福？,,,,,,,,,
