类别,序号,模板原图,封面图,标签文案（英文）,主标题（英文）,副标题（英文）,hot,new,文案1,文案2,文案3,文案4,文案5
A,1,male_dating_avatar1,cover_male_dating_avatar1,Dating Partner,You Picked Her. Now Hear What Your Goddess Thinks... 👑,"She tells you: ""You're a little bad, I like it.""",0,0,,,,,
A,1,male_dating_avatar2,cover_male_dating_avatar2,Dating Partner,Today's Leading Lady is Her～😏,"""Don't look at me, I'll get shy~""",0,0,,,,,
B,2,male_dating_avatar3,cover_male_dating_avatar3,Dating Partner,Who's Snagging the Best Seat for Movie Night? 🤔,You even ordered popcorn~,0,0,,,,,
E,2,male_dating_avatar4,cover_male_dating_avatar4,Dating Partner,What's Your Success Rate? 🎯Do They Say 'Yes' or 'Next'? 🤔,Your Avatar is Displayed on the Goddess's Phone Wallpaper!,0,0,,,,,
E,3,male_dating_name1,cover_male_dating_name1,Name Matching,She Finds Your Name Interesting😏Test your name matching……,"""Your name sounds so flirty~""",0,0,,,,,
B,3,male_dating_name2,cover_male_dating_name2,Name Matching,Today's Best Nickname🤔,This is your nickname~,0,0,,,,,
E,4,male_dating_name3,cover_male_dating_name3,Name Matching,What's Your Nickname in Her Heart?🤔💗,"She says: ""You're too forward~""",0,0,,,,,
C,4,male_dating_name4,cover_male_dating_name4,Name Matching,A Name Compatibility Test？,Result: Loading...,0,0,,,,,
D,5,male_dating_day1,cover_male_dating_day1,Today's Date,Are You in the Mood for a Date Today,The Date Determines Tonight's Luck,0,0,,,,,
D,5,male_dating_day2,cover_male_dating_day2,Today's Date,Love Alert! Your Love Moment is Set……,You'll Be Very Lucky Today at ……,0,0,,,,,
B,6,male_dating_day3,cover_male_dating_day3,Today's Date,She's Waiting for You Toda.Time is Key!,She will wait at ……,0,0,,,,,
D,6,male_dating_day4,cover_male_dating_day4,Today's Date,Best Dating Slot of the Day,Don't Be Late~,0,0,,,,,
A,7,male_dating_mix1,cover_male_dating_mix1,AI Matching,Test your Fate Index with Her😏,Loading……,0,0,,,,,
D,7,male_dating_mix2,cover_male_dating_mix2,AI Matching,Test today's Love Briefing💌,Loading……,0,0,,,,,
B,8,male_dating_mix3,cover_male_dating_mix3,AI Matching,Your Secret Love Portrait: Generated! 🤫,Remembered by THEM at ……,0,0,,,,,
D,-2,male_dating_mix4,cover_male_dating_mix4,AI Matching,Your Love Data: Decoded! 🧬,Creating a report for you……,1,0,,,,,
D,-1,female_test_humor1,cover_female_test_humor1,Humor,What's Your Banana Ripeness Level? 🍌,The Peel-Good Question We All Secretly Ponder... 🤔,0,0,,,,,
D,-1,female_test_daily5,cover_female_test_daily5,Daily,Are You an Ocean Personality? 🌊,The Tides Are Turning... Let's See!,0,0,,,,,
D,-1,female_test_love5,cover_female_test_love5,Love,What Kind of Guy Makes You Go... 🔥,SO HOTTTTT!,0,0,,,,,
D,-1,female_test_daily6,cover_female_test_daily6,Daily,What Brings You a Moment of Peace? 🧘‍♀️✨,Shhh... Finding Your Calm...,0,0,,,,,
C,-1,female_test_daily7,cover_female_test_daily7,Daily,Discover Your Secret July Word!,Shhh... Don't Tell Anyone! 😉,0,0,,,,,
C,-1,female_test_daily8,cover_female_test_daily8,Daily,What Might You Miss in 2025?,"Sometimes, Missing Out is a Blessing in Disguise...",1,0,,,,,
B,-1,female_test_daily9,cover_female_test_daily9,Daily,One Objective Fact About You?,Self-Awareness Loading... Please Be Patient!,1,0,,,,,
C,-1,female_test_magic1,cover_female_test_magic1,Magic,Who Are You in Greek Mythology?,The Cosmos is Connecting to Your Energy...,0,0,,,,,
C,-1,female_test_daily10,cover_female_test_daily10,Daily,How Soon Will Your Birthday Wish Come True?,The Universe is Calculating!,0,0,,,,,
C,-1,female_test_magic2,cover_female_test_magic2,Magic,What's Your Perfect Superpower?,Your Unique Ability: Revealed!,0,0,,,,,
C,-1,female_test_love6,cover_female_test_love6,Love,What's Your Current Love Status? ❤️,Love Status Loading... Please Wait,0,0,,,,,
C,-1,female_test_daily11,cover_female_test_daily11,Daily,Someone's Praying For You... Who Is It? 🙏💖,You Are So Loved. Feel the Warmth!,0,0,,,,,
E,-1,female_test_friend1,cover_female_test_friend1,Friend,What's Your Friendship Adventure Style? 🎉🗺️,"Your ""Let's make some memories!""",0,0,,,,,
E,-1,female_test_friend2,cover_female_test_friend2,Friend,What kind of friend are you in the eyes of others?,"Analyzing your ""I'm here for you"" frequency...",0,0,,,,,
E,-1,female_test_friend3,cover_female_test_friend3,Friend,"What's Your ""Ride-or-Die"" Friend Persona?",Your friendship loyalty index is being calculated...,0,0,,,,,
E,-1,female_test_daily12,cover_female_test_daily12,Daily,What's Your Deepest Life Regret?,"That Lingering ""If Only""...",0,0,,,,,
E,-1,female_test_love7,cover_female_test_love7,Love,What's Your Lifetime Love Declaration? ❤️📜,Reaching the Core of Your Heart...,0,0,,,,,
E,-1,female_test_love8,cover_female_test_love8,Love,Will Your 2026 Love Life Be Stable? 💖🔮,Love Results Loading...,0,0,,,,,
E,-1,female_test_daily13,cover_female_test_daily13,Daily,Tomorrow's First Greeting: What Will It Be? ☀️💬,You Open Your Eyes To...,0,0,,,,,
E,-1,female_test_love9,cover_female_test_love9,Love,When's That Next Kiss From Your Love? 😘,Waiting for That Sweet Moment... ⏳,0,0,,,,,
E,-1,female_test_love10,cover_female_test_love10,Love,"If You Could Love Again, Who Would It Be? 🤔❤️",Your Destined Love Story is Recalibrating...,0,0,,,,,
E,-1,female_test_daily14,cover_female_test_daily14,Daily,The Words You Need to Say Tomorrow...,What Are They Whispering to Your Heart?,0,0,,,,,
E,-1,female_test_daily15,cover_female_test_daily15,Daily,The Words You Should Have Heard Today...,What Did Your Heart Need to Hear? 💬,0,0,,,,,
E,-1,female_test_daily16,cover_female_test_daily16,Daily,Who's Sending You a Letter? 💌,This Message is Just For You...,0,0,,,,,
E,-1,female_test_daily17,cover_female_test_daily17,Daily,How's Your Look Today? ✨👗,Style Report Loading... Get Ready!,0,0,,,,,
E,-1,female_test_daily18,cover_female_test_daily18,Daily,How's Your Current Crib Rated? 🏡🧐,Let's Check Out That Pad!,0,0,,,,,
E,-1,female_test_love11,cover_female_test_love11,Love,What Text Will Your Crush Send You? 📱❤️,You've Got a New Message! Let's See...,0,0,,,,,
E,-1,female_test_daily19,cover_female_test_daily19,Daily,Ping! You've Got a New Message! 💬,Ping! You've Got a New Message! 💬,0,0,,,,,
A,-1,female_test_humor2,cover_female_test_humor2,Humor,Which Italian Brainrot Are You?,Unveil Your Mythic AI Counterpart!,0,0,,,,,
A,-1,female_test_humor3,cover_female_test_humor3,Humor,What's Your Cartoon Persona?🤩,Brain storm,0,0,,,,,
A,-1,female_test_humor4,cover_female_test_humor4,Humor,If you were in Hollywood……,What's Your Star Role? 🎬🌟,0,0,,,,,
D,-1,female_test_daily20,cover_female_test_daily20,Daily,"You gotta have a life motto, right...?",What would yours be? 🤔,0,0,,,,,
D,-1,female_test_humor5,cover_female_test_humor5,Humor,How will you die?😏Want know?,The Outcome Might Just Slay You😂,0,0,,,,,
D,-1,female_test_humor6,cover_female_test_humor6,Humor,How Are You Still Alive?!,"Seriously, we're calculating... please wait. ⏳",0,0,,,,,
C,-1,female_test_daily21,cover_female_test_daily21,Daily,Ta-da! What's Your Lucky Color? 🎨✨,"So, what IS it?!",0,0,,,,,
A,-1,female_test_love12,cover_female_test_love12,Love,Who's Your Zodiac Soulmate? 💖✨,Your Cosmic Match Awaits! ✨,0,0,,,,,
D,-1,female_test_daily22,cover_female_test_daily22,Daily,Labubu's Got Luck? ✨ What's Your Lucky Vibe?,Your Good Juju is Compiling... Stand By!,0,0,,,,,
B,-1,female_test_daily23,cover_female_test_daily23,Daily,They Say Everyone Has a Lucky Month...,Is It True? Let's Find Yours!,0,0,,,,,
G,-2,female_test_parenting1,cover_female_test_parenting1,Parenting,Who's Pregnant Now？,Something Happy Is Coming,0,0,Your best friend has news to share.,A relative is expanding the family.,A colleague has a happy secret.,The good news might be yours.,It's just your own food baby.
G,-2,female_test_parenting2,cover_female_test_parenting2,Parenting,How Many Children Will You Have?,"Tiny Peek, Big News",0,0,One child.,A perfect pair.,Dog.,Cat.,Say goodbye to your savings.
H,-2,female_test_parenting3,cover_female_test_parenting3,Parenting,A Message From Your Future Child💌,Message Incoming!,0,0,Can't wait to meet you.,Let me explore on my terms.,Let's be best friends.,You're already the best parent.,Start saving for my therapy.
F,-2,female_test_parenting4,cover_female_test_parenting4,Parenting,What is Your Baby's Personality Like?,A glimpse into the little soul you're destined to meet.,0,0,A curious and adventurous spirit.,"A quiet, thoughtful, gentle observer.","A creative, social little artist.","A warm, caring, natural leader.",A tiny dictator with an iron fist.
F,-2,female_test_parenting5,cover_female_test_parenting5,Parenting,Your Child Takes After You... or,A Perfect Blend of Love,0,0,"Your looks, your partner's free spirit.","Your partner's looks, your clever mind.",A perfect fusion of you both.,"Uniquely themselves, a brand new star.",A terrifying mix of your flaws.
G,-3,male_test_daliy1,cover_male_test_daliy1,Daily,What Will You Encounter in July?🔮,Your summer story awaits... ✨,1,0,Swimming pool,Watermelon,Prety girl,Popsicle,Mosquito
G,-3,male_test_daliy2,cover_male_test_daliy2,Daily,What's Your Next Ride? 🏎️,Your life's GPS is recalculating... 🧭,1,0,A vintage convertible,An unstoppable delivery van,A cozy camper van,Your dad's old station wagon,A shopping cart
K,-3,male_test_daliy3,cover_male_test_daliy3,Daily,Your Soulmate's First Initial? 💌,Destiny is writing their name... ✍️,1,0,O,B,M,J,Not Applicable
G,-2,male_test_daliy4,cover_male_test_daliy4,Daily,Your Perfect Pup 🐾,Find your furry co-pilot... 🗺️,0,0,The Golden Retriever.,The French Bulldog.,The Shiba Inu.,The Corgi.,You don't have a dog
G,-2,female_test_daily30,cover_female_test_daily30,Daily,What Necklace Awaits You?,Your Perfect Pendant 💎,0,0,Secret-Hiding Locket,Whisper-Thin Gold Chain,Good-Vibe Crystal Pendant,Bold Vintage Necklace,Office ID Lanyard
F,-2,male_test_daliy5,cover_male_test_daliy5,Daily,What's Your Missing Piece? 🧩,The search is over... 🗺️,0,0,A one-way ticket to somewhere new.,A forgotten photo from a perfect day.,A dog-eared book with the perfect escape.,A key that opens a door you thought was locked.,The other AirPod.
M,-2,male_test_daliy6,cover_male_test_daliy6,Daily,What's Your Mantra? 📜,A story waiting on your skin...,0,0,Onward,Still I rise,Amor Fati,Stay gold,Still not dead
J,-11,male_test_daliy7,cover_male_test_daliy7,Daily,Who's Your MBTI?,Decoding your love life...,0,1,ENTJ,INFP,ESFP,ISFJ,TBD (To Be Determined)
G,-2,male_test_daliy8,cover_male_test_daliy8,Daily,If You Were a Dog... 🐕,"Your personality, but furrier... 🐾",0,0,Eternal Optimist Pup,Sunbeam Nap Expert,Goofy Park Star,Judgy Old Soul,Snack-Driven Doggo
H,-2,male_test_daliy9,cover_male_test_daliy9,Daily,Why Are You Single? 🤔,An investigative report...,0,0,"High Standards, Low Patience",Busy Growing Alone,Books > Real People,Snacks Aren't Shared,Dog > Everyone Else
G,-2,male_test_daliy10,cover_male_test_daliy10,Daily,What's Your Inner Evil?🤫,Embrace your dark side... 🤫,0,0,Judging Bad Parking,Stealing Friend's Fries,Canceled Plans Joy,Remind Me Tomorrow… Again,Advice You Don't Follow
J,-2,female_test_daily31,cover_female_test_daily31,Daily,What's Your Killer Feature? 😉,Prepare to be admired... ✨,0,0,Your hands,Your collarbones,Your smile,Your eyes,Your phone-holding pinky finger
L,-89,female_test_daily32,cover_female_test_daily32,Daily,Who's Stealing Your Heart?,Cupid's arrow is pointing at... 🏹,1,0,Paint-Stained Artist,Witty Order-Knowing Barista,Story-Eyed Traveler,Laughs at Your Jokes,Muscle Guy
L,-2,male_test_daliy11,cover_male_test_daliy11,Daily,What's Your Kryptonite?,Unexpected Answers,0,0,The girl-next-door,The art school muse,The sharp-witted bookworm,The untamed adventurer,The pizza delivery girl
K,-2,male_test_daliy12,cover_male_test_daliy12,Daily,The Real You Is...,Unmasking the truth... 🤫,0,0,Quiet Power,Soft Rebel,Hope Holder,Joy Seeker,Functioning Chaos
F,-3,male_test_daliy13,cover_male_test_daliy13,Daily,Sounds You Crave at Night🌙🤫,Listen closely... a secret is revealed,1,0,Phone Buzzing,Microwave Beep,Shower Running,Message Typing,Silence Again
G,-2,male_test_daliy14,cover_male_test_daliy14,Daily,What's The One Thing You Can't Quit? ⛓️,We all have our vices... what's yours? 🔥,0,0,The Fiery Spirit.,The Ice Queen.,The Gentle Sweetheart.,The Elegant Siren.,The last french fry in the bag.
J,-2,male_test_daliy15,cover_male_test_daliy15,Daily,What Can't You Resist? 😍,Discover Your Weak Spot,0,0,Gorgeous Women,Luxury Cars,Endless Snacks,Nonstop Fitness,Online Scrolling
J,-2,male_test_daliy16,cover_male_test_daliy16,Daily,🏋️‍♂️ What's Your Alpha Energy?,Test your silent dominance level.,0,0,Lifts in Silence,Cold-Stare King,Problem Solver Bro,Grill Master Alpha,"Loud, Wrong, Confident"
F,-2,male_test_daliy17,cover_male_test_daliy17,Daily,🏀 What's Your Sports Vibe?,Find your true athlete energy.,0,0,Game Strategist,Hype Man,Ball Hog Hero,Stretch Guy,Sits & Scrolls
H,-3,male_test_daliy18,cover_male_test_daliy18,Daily,What's Your Bro Role?,Every group has one. You are him.,1,0,You are The Driver,You are The Instigator,You are The Disappearing Act,You are The Therapist,Brb……
J,-2,male_test_daliy19,cover_male_test_daliy19,Daily,🎯 What Truly Drives Your Life?,"Beneath it all, what really matters to you?",0,0,Freedom,Stability,Validation,Fun,Wi-Fi Signal
I,-2,male_test_daliy20,cover_male_test_daliy20,Daily,❤️ What Kind of Boyfriend Would You Be?,Based on your hidden traits.,0,0,The Gentle Protector,The Overthinking Romantic,The Funny Disaster,The Dependable Partner,"The ""Are we dating?"" guy"
F,-2,male_test_daliy21,cover_male_test_daliy21,Daily,🕹 What Kind of Gamer Are You?,"We're not judging. Okay, maybe just a little.",0,0,The Sweaty Tryhard,The Lore Nerd,The Troll,The AFK Mystery Man,Still stuck on the tutorial
F,-11,male_test_daliy22,cover_male_test_daliy22,Daily,🌲What Kind of Outdoorsman Are You?,Not all adventures need to be extreme.,0,1,Campfire Cook,Trail Guy,Fish & Chill Dude,Gear Collector,Only goes outside for deliveries
H,-2,male_test_daliy24,cover_male_test_daliy24,Daily,Your Life in 2026,What's your real vibe,0,0,"New job, new you","Still grinding, but closer","Remote life, peace restored",Married with your lover,"Same couch, same scrolling"
F,-2,male_test_daliy25,cover_male_test_daliy25,Daily,👼 What Will Someone Say to You in Heaven?,"A line that hits deep, from someone who mattered.",0,0,"""I always believed in you.""","""You were funnier than you thought.""","""I wish I'd said goodbye properly.""","""You loved hard. That mattered.""","""Why'd you eat that gas station sushi?"""
J,-2,male_test_daliy26,cover_male_test_daliy26,Daily,Your Next 3 Months…🔮,"Your short-term destiny, revealed.",0,0,Unexpected romance,Career level-up,Big decisions ahead,"Sweet, peaceful nothingness",Trying to fix what you ignored last year
G,-2,male_test_daliy27,cover_male_test_daliy27,Daily,🚗 What's the Perfect Car for You?,Not what you can afford—what suits your soul.,0,0,Matte-black sports car,Vintage muscle classic,All-terrain beast,Electric with AI everything,"Your current car, but cleaner"
F,-2,male_test_daliy28,cover_male_test_daliy28,Daily,What Broke Your Heart?,"One wound, still lingering.",0,0,She stopped laughing at your jokes,That one text you never got back,A dream you slowly gave up,Being replaced without a word,You got ghosted by Spotify Wrapped
G,-2,male_test_daliy29,cover_male_test_daliy29,Daily,What Toy Truly Represents You?,Because every grown man has a little boy in him.,0,0,YOUR TOY,YOUR TOY,YOUR TOY,YOUR TOY,YOUR TOY
G,-2,male_test_daliy30,cover_male_test_daliy30,Daily,🤖 Your AI-Generated Toy Form,🧠 Let tech define your personality in plastic.,0,0,Your AI-Generated Toy,Your AI-Generated Toy,Your AI-Generated Toy,Your AI-Generated Toy,Your AI-Generated Toy
H,-3,male_test_daliy31,cover_male_test_daliy31,Daily,🕰 Who Did You Miss?,Some just shape you…,1,0,The one who loved you quietly,A friend you grew apart from,Your younger self,Someone who forgave too much,🥀 Everyone who gave you a chance
I,-2,male_test_daliy32,cover_male_test_daliy32,Daily,If You Were a Dad...,What kind of man of the house would you be?,0,0,Snack-sharing dad,Joke Dad,Silent protector,Overprepared worrier,"""Ask your mom"""
N,-3,female_test_love13,cover_female_test_love13,love,What's Your Secret Charm? ✨,What Makes You Irresistible? Magnetic You! 🔥,0,0,The Sparkling Conversationalist|||| Lights up every room with charm and wit.,"The Warm Heart & Gentle Soul||||Kind, empathetic, instantly makes people feel safe.","The Adventurous Spirit & Fun-Lover||||Spontaneous, exciting, always ready for adventure.","The Quiet Confidence & Intriguing Depth||||Mysterious, calm, confidence that draws others in.","The Unpaid Therapist!||||You listen endlessly, validate perfectly, and stay selfless."
N,-3,female_test_love14,cover_female_test_love14,love,Is Love Around the Corner? 💘,Peeking at Your Romantic Forecast!,0,0,"Get Ready, It's Blooming Soon!||||Love is near—stay open, stay hopeful!",Subtle Sparks are Igniting...||||Quiet connections are slowly turning into sparks.,"Focus on You, Love Will Follow!||||Shine first—love will come naturally.",Surprise Detour to Romance!||||Unexpected romance is right around the corner.,You're Experiencing a Profound Connection... ||||with Your Couch!Your bond with your couch and shows is truly unbreakable.
N,-3,female_test_love15,cover_female_test_love15,love,What's Your Love Flavor Today? 🍦💖,What's cooking in your love life today?,0,0,"Spicy & Exciting!||||Fiery passion, daring energy, thrilling love moments ahead.","Sweet & Comforting!||||Warm, cozy connections bring simple joy today.","Zesty & Refreshing!||||Fresh love energy, perfect for new beginnings.","Rich & Satisfying!||||Craving deep, meaningful, and fulfilling connections today.","Salty & Over-analyzed!||||You overthink old texts, imagining meanings and regrets."
M,-3,female_test_love16,cover_female_test_love16,love,What Text From Your Crush? 📱💭,Waiting for That DM? 🥰 If Your Crush Messaged NOW...💬,0,0,"Wishing for a sweet, simple 'thinking of you' text.",Hoping for fun plans or spontaneous romantic invite.,"Longing for deep, thoughtful, emotional conversations via text.","Dreaming of flirty, bold, heart-racing surprise messages.","You're really just craving a good meme, not a message."
N,-3,female_test_love17,cover_female_test_love17,love,Your Secret Love Superpower? 🦸‍♀️❤️,If You Had a Romance Power...,0,0,The Mind Reader!||||Know exactly what they think and feel—no guessing needed.,The Perfect Matchmaker!||||Spot true love and bring soulmates together effortlessly.,The Charm Caster!||||Your charm and wit captivate everyone instantly.,"The Heart Healer!||||Heal hearts gently, building trust and deep connections.",The Perfect Plan Canceler!||||You sense invites early and save your free evenings wisely.
N,-3,female_test_love18,cover_female_test_love18,love,If Cupid Offered You This Irresistible Power Today...,What would you do with instant adoration?,0,0,"Yes, Please! I Know Exactly Who!||||You want to spark undeniable, mutual love now.","Tempting... But It Must Be Real!||||You seek genuine love, not just a magical fling.",I'd Rather Win Them Over Myself!||||You trust your own charm to win true love.,"Hmm, Can I Save This Power For Later?||||You'd wait for the perfect moment to use it.",Tempting... But Could it Make My Food Delivery Arrive Faster?||||You want love—but mostly your pizza to arrive faster!
N,-3,female_test_love19,cover_female_test_love19,love,What Soothes Your Weary Soul? 🥰,Unveiling your comfort needs!,0,0,"A Warm, Silent Hug & Presence||||Silent embrace melts stress; just being there comforts deeply.","Understanding Words & A Listening Ear||||You need hearing, kindness, and validating words without judgment.",Practical Help & Taking Charge||||They help with tasks so you can truly relax.,Lighthearted Distraction & Laughter||||Silly fun and laughter lift your spirits and ease stress.,"A Perfect, Uninterrupted Internet Connection||||Strong Wi-Fi lets you scroll stress-free without buffering."
N,-3,female_test_love20,cover_female_test_love20,love,What Makes Your Heart Skip? ❤️,Where does your heart feel most at ease and excited?,0,0,"Cozy & Intimate Comfort||||Soft blankets, quiet talks, and feeling completely understood.","Playful & Lighthearted Fun||||Laughter, adventures, and carefree moments that spark joy.",Deep & Meaningful Connection||||Profound talks and shared vulnerability captivate your heart.,Elegant & A Little Glamorous||||Sophistication and soft music make romance feel magical.,A Vibe That Requires No 'Real Clothes'||||Sweatpants are formal—comfort and chill reign supreme.
N,-11,female_test_love21,cover_female_test_love21,love,Your Crush's First Impression of You? 🤔✨,Do you want to know?,0,1,You're Instantly Charming & Amusing!||||Your bright energy makes others smile and laugh easily.,You Radiate Quiet Depth & Intrigue...||||Your thoughtful nature quietly draws people in deeply.,Your Confidence & Style Are Striking!||||Your unique style and confidence make you unforgettable.,"You Create an Unexpected, Warm Connection!||||You make others feel warmth and genuine connection instantly.",You Radiate 'Won't Cause Any Trouble.'||||You agree easily and ask little—refreshingly low-maintenance.
N,-3,female_test_love22,cover_female_test_love22,love,What Unplanned Event Would Bring You Closer?,Discover the magic of serendipity in love!,0,0,"A Shared, Silly Mishap!||||Funny blunders like rain mishaps build your laughter bond.","An Unplanned, Deep Conversation!||||Unexpected honest talks spark intimacy and connection.",A Spontaneous Act of Teamwork!||||Solving small challenges together strengthens your bond.,"An Unexpected, Thoughtful Gesture!||||Surprise kindness or gifts warm your heart deeply.","A Shared, Unstable Wi-Fi Signal!||||Bond over buffering woes—first-world love language unlocked."
O,-3,female_test_daily24,cover_female_test_daily24,daily,OU! 📱🚨 Final 10% - What's Your Priority?,How do you handle the dreaded low battery warning?,0,0,Send quick messages or check DMs before shutdown.,Check maps and save info; practicality comes first.,Squeeze in one last song or video for fun.,Embrace silence and a phone-free moment calmly.,"You reorganize apps in chaos, creating calm illusions."
N,-3,female_test_daily25,cover_female_test_daily25,daily,What Tiny Daily Act Brings You the Most Happiness?,What little habit makes life brighter?,0,0,"The Morning Awakening Ritual||||A calm start with coffee, meditation, or gentle stretch.",The Creative Escape Ritual||||Time for creative hobbies recharges and brings joy.,"The Cozy Comfort Ritual||||Comfort rituals like blankets, books, or warm baths soothe.",The Mindful Appreciation Ritual||||Noticing small joys and gratitude fills you with peace.,The 'Just Five More Minutes' Ritual||||You negotiate with your alarm for precious extra sleep.
N,-3,female_test_daily26,cover_female_test_daily26,daily,If Your Wallet Could Talk... 💬💸,What Would Your Wallet Really Tell You?,0,0,Feed Me More! I'm Feeling a Bit Light!||||Your wallet wants more savings and financial security.,Treat Yourself! You Deserve That Little Splurge!||||You've earned a special treat—go ahead and indulge!,"Let's Plan an Adventure! Save Up for Experiences!||||Save for memories, not things—adventure awaits!","Thank You for Being So Wise & Responsible!||||Your wallet loves your smart, responsible spending habits.",The Relic in Your Pocket||||Your wallet's now a dust collector and forgotten memories box.
N,-3,female_test_daily27,cover_female_test_daily27,daily,What Life Change Awaits? ✨🗺️,Peeking at the Next Chapter of Your Story!,0,0,A Spark of New Inspiration & Creativity!||||Fresh ideas and creativity inspire exciting new projects.,A Shift Towards Deeper Connections!||||Meaningful relationships deepen with more understanding and heart.,An Opportunity for Growth & Learning!||||New challenges bring growth and valuable learning experiences.,A Breath of Fresh Air & New Beginnings!||||A fresh start or change brings optimism and new possibilities.,An Opportunity to Deepen Your Connection... with Your Couch!||||More canceled plans mean deeper bonds with your couch and shows.
O,-3,female_test_daily28,cover_female_test_daily28,daily,A Message From Your Future Self! 💌⏳,What does your future know that you don't?,0,0,"Trust your gut more, you're onto something big!",Don't sweat the small stuff so much; it all works out. Seriously.,Take that leap you're scared of – it's SO worth it!,Remember to slow down and savor these moments. They're precious.,Stop overthinking that text—it meant nothing. Nap instead!
N,-3,female_test_daily29,cover_female_test_daily29,daily,What Amazing Things Will You Have Achieved & Gained in 10 Years?,Let's see…,0,0,"Deep Wisdom & Inner Peace||||In 10 years, you'll radiate calm wisdom and inner peace.",Inspiring Success & Recognition||||Your dedication brings big achievements and well-earned praise.,"Meaningful Connections & A Loving Tribe||||You build a strong, loving tribe full of joy and support.",Adventurous Experiences & A Worldly View||||You gather adventures that broaden your rich worldview.,"Ergonomics? Never Heard of Her.||||In 10 years, you'll have back pain and quirky sitting grunts."
N,-3,female_test_entertainment1,cover_female_test_entertainment1,entertainment,Which 'Friends' Character Are You? ☕️🛋️,If you were in this story…,0,0,"You're Monica Geller!||||Organized, loyal, and bossy with a big heart.","You're Rachel Green!||||Stylish, resilient, and deeply values friendships.","You're Phoebe Buffay!||||Eccentric, kind, and always quirky with unique views.","You're Chandler Bing!||||Sarcastic, funny, and a caring, loyal friend.",Left on 'Maybe Next Time||||You're the unseen friend everyone cancels for staying in.
N,-3,female_test_entertainment2,cover_female_test_entertainment2,entertainment,If today you could own a 'prop' from a classic movie/TV show…,what would you choose?,0,0,The Lightsaber (Star Wars)||||Elegant weapon for defense and looking incredibly cool.,The Time-Turner (Harry Potter)||||Attend more classes or relive moments with ease.,The DeLorean Time Machine (Back to the Future)||||Travel eras and witness history or create adventures.,"The One Ring (Lord of the Rings)||||Powerful and alluring, but handle with great care.","Small Talk? Hard Pass||||You'd mute every 'So, what've you been up to?' question endlessly."
N,-3,female_test_entertainment3,cover_female_test_entertainment3,entertainment,Which Film Icon Are You Today?,If You Could Live a Day as a Classic Movie Character...,0,1,"Elizabeth Bennet (Pride and Prejudice)||||Witty, independent, charming in society's drawing rooms.","Indiana Jones (Raiders of the Lost Ark)||||Thrilling adventures with clues, traps, and classic style.","Holly Golightly (Breakfast at Tiffany's)||||Quirky glamour, parties, and searching for belonging.","James Bond (007 Franchise)||||Espionage, gadgets, and daring missions with charm.",Still Here. Barely||||You quietly encourage yourself while zoning out in meetings.
